,err_prob,n_checks,Encoded blocks, source block size, encoded block size,Decoded blocks,valid blocks,Average iterations, bit changes %, Decoding time (milli-seconds),Block counts tot, with chk errs, with src errs, both,Bit error rate (on message bits only),1-BLER,shannon,real_key,eff_key
120,0.06,500,800.0,500.0,1000.0,800.0,800.0,3.3,3.0,0.136,800.0,0.0,0.0,0.0,0.0,1.0,0.32744491915447627,0.17255508084552373,0.17255508084552373
121,0.06,525,842.0,475.0,1000.0,842.0,842.0,3.1,3.0,0.098,842.0,0.0,0.0,0.0,0.0,1.0,0.32744491915447627,0.1475550808455237,0.1475550808455237
122,0.06,550,888.0,450.0,1000.0,888.0,888.0,2.8,3.0,0.1,888.0,0.0,0.0,0.0,0.0,1.0,0.32744491915447627,0.12255508084552369,0.12255508084552369
123,0.06,575,941.0,425.0,1000.0,941.0,941.0,2.6,3.0,0.121,941.0,0.0,0.0,0.0,0.0,1.0,0.32744491915447627,0.09755508084552378,0.09755508084552378
124,0.06,600,1000.0,400.0,1000.0,1000.0,1000.0,2.4,2.0,0.14,1000.0,0.0,0.0,0.0,0.0,1.0,0.32744491915447627,0.07255508084552376,0.07255508084552376
125,0.06,625,1066.0,375.0,1000.0,1066.0,1066.0,2.2,2.0,0.074,1066.0,0.0,0.0,0.0,0.0,1.0,0.32744491915447627,0.047555080845523734,0.047555080845523734
126,0.06,650,1142.0,350.0,1000.0,1142.0,1142.0,2.1,2.0,0.112,1142.0,0.0,0.0,0.0,0.0,1.0,0.32744491915447627,0.02255508084552371,0.02255508084552371
127,0.06,675,1230.0,325.0,1000.0,1230.0,1230.0,2.0,2.0,0.074,1230.0,0.0,0.0,0.0,0.0,1.0,0.32744491915447627,-0.0024449191544763105,0.0
128,0.06,700,1333.0,300.0,1000.0,1333.0,1333.0,1.9,2.0,0.074,1333.0,0.0,0.0,0.0,0.0,1.0,0.32744491915447627,-0.02744491915447622,0.0
129,0.06,725,1454.0,275.0,1000.0,1454.0,1454.0,1.8,2.0,0.073,1454.0,0.0,0.0,0.0,0.0,1.0,0.32744491915447627,-0.052444919154476244,0.0
130,0.07,100,444.0,900.0,1000.0,444.0,0.0,250.0,0.0,8.095,444.0,444.0,444.0,444.0,0.07043,0.0,0.36592365090022333,0.5340763490997767,0.0
131,0.07,125,457.0,875.0,1000.0,457.0,0.0,250.0,0.0,8.054,457.0,457.0,457.0,457.0,0.07042,0.0,0.36592365090022333,0.5090763490997767,0.0
132,0.07,150,470.0,850.0,1000.0,470.0,0.0,250.0,0.0,7.862,470.0,470.0,470.0,470.0,0.07043,0.0,0.36592365090022333,0.4840763490997767,0.0
133,0.07,175,484.0,825.0,1000.0,484.0,0.0,250.0,0.0,7.914,484.0,484.0,484.0,484.0,0.07044,0.0,0.36592365090022333,0.45907634909977674,0.0
134,0.07,200,500.0,800.0,1000.0,500.0,0.0,250.0,0.0,8.396,500.0,500.0,500.0,500.0,0.07042,0.0,0.36592365090022333,0.4340763490997767,0.0
135,0.07,225,516.0,775.0,1000.0,516.0,0.0,250.0,0.0,7.163,516.0,516.0,516.0,516.0,0.07042,0.0,0.36592365090022333,0.40907634909977675,0.0
136,0.07,250,533.0,750.0,1000.0,533.0,0.0,250.0,0.0,7.156,533.0,533.0,533.0,533.0,0.07041,0.0,0.36592365090022333,0.3840763490997767,0.0
137,0.07,275,551.0,725.0,1000.0,551.0,0.0,250.0,0.0,7.623,551.0,551.0,551.0,551.0,0.06953,0.0,0.36592365090022333,0.3590763490997767,0.0
138,0.07,300,571.0,700.0,1000.0,571.0,9.0,246.6,1.0,7.087,571.0,562.0,562.0,562.0,0.06436,0.01576182136602452,0.36592365090022333,0.33407634909977674,0.0052656517371243265
139,0.07,325,592.0,675.0,1000.0,592.0,73.0,222.2,2.0,7.414,592.0,519.0,519.0,519.0,0.0514,0.12331081081081081,0.36592365090022333,0.3090763490997767,0.03811245520993868
140,0.07,350,615.0,650.0,1000.0,615.0,266.0,149.7,3.0,0.622,615.0,349.0,349.0,349.0,0.02939,0.432520325203252,0.36592365090022333,0.28407634909977675,0.12286879489518798
